Game 1| Score 1
Game 2| Score 1
Game 3| Score 0
Game 4| Score 0
Game 5| Score 0
Game 6| Score 0
Game 7| Score 0
Game 8| Score 0
Game 9| Score 0
Game 10| Score 0
Game 11| Score 0
Game 12| Score 0
Game 13| Score 1
Game 14| Score 0
Game 15| Score 0
Game 16| Score 0
Game 17| Score 0
Game 18| Score 0
Game 19| Score 0
Game 20| Score 0
Game 21| Score 1
Game 22| Score 0
Game 23| Score 0
Game 24| Score 1
Game 25| Score 0
Game 26| Score 0
Game 27| Score 0
Game 28| Score 0
Game 29| Score 1
Game 30| Score 0
Game 31| Score 0
Game 32| Score 0
Game 33| Score 0
Game 34| Score 0
Game 35| Score 0
Game 36| Score 0
Game 37| Score 0
Game 38| Score 0
Game 39| Score 1
Game 40| Score 0
Game 41| Score 0
Game 42| Score 1
Game 43| Score 0
Game 44| Score 0
Game 45| Score 0
Game 46| Score 1
Game 47| Score 0
Game 48| Score 0
Game 49| Score 2
Game 50| Score 2
Game 51| Score 1
Game 52| Score 3
Game 53| Score 2
Game 54| Score 2
Game 55| Score 1
Game 56| Score 1
Game 57| Score 0
Game 58| Score 0
Game 59| Score 1
Game 60| Score 1
Game 61| Score 0
Game 62| Score 2
Game 63| Score 2
Game 64| Score 0
Game 65| Score 3
Game 66| Score 0
Game 67| Score 0
Game 68| Score 1
Game 69| Score 2
Game 70| Score 4
Game 71| Score 0
Game 72| Score 1
Game 73| Score 4
Game 74| Score 3
Game 75| Score 5
Game 76| Score 0
Game 77| Score 1
Game 78| Score 0
Game 79| Score 2
Game 80| Score 5
Game 81| Score 1
Game 82| Score 21
Game 83| Score 32
Game 84| Score 16
Game 85| Score 0
Game 86| Score 61
Game 87| Score 32
Game 88| Score 31
Game 89| Score 23
Game 90| Score 18
Game 91| Score 16
Game 92| Score 21
Game 93| Score 35
Game 94| Score 20
Game 95| Score 37
Game 96| Score 17
Game 97| Score 19
Game 98| Score 30
Game 99| Score 36
Game 100| Score 25
Game 101| Score 44
Game 102| Score 39
Game 103| Score 22
Game 104| Score 14
Game 105| Score 23
Game 106| Score 45
Game 107| Score 39
Game 108| Score 36
Game 109| Score 11
Game 110| Score 20
Game 111| Score 15
Game 112| Score 48
Game 113| Score 25
Game 114| Score 17
Game 115| Score 30
Game 116| Score 31
Game 117| Score 41
Game 118| Score 57
Game 119| Score 31
Game 120| Score 41
Game 121| Score 46
Game 122| Score 16
Game 123| Score 52
Game 124| Score 31
Game 125| Score 17
Game 126| Score 34
Game 127| Score 45
Game 128| Score 23
Game 129| Score 9
Game 130| Score 39
Game 131| Score 29
Game 132| Score 32
Game 133| Score 28
Game 134| Score 37
Game 135| Score 14
Game 136| Score 20
Game 137| Score 52
Game 138| Score 39
Game 139| Score 22
Game 140| Score 29
Game 141| Score 23
Game 142| Score 38
Game 143| Score 38
Game 144| Score 50
Game 145| Score 43
Game 146| Score 48
Game 147| Score 32
Game 148| Score 52
Game 149| Score 13
Game 150| Score 22
Game 151| Score 30
Game 152| Score 31
Game 153| Score 8
Game 154| Score 7
