Game 1| Score 0| Mean 0.0
Game 2| Score 0| Mean 0.0
Game 3| Score 1| Mean 0.3333333333333333
Game 4| Score 0| Mean 0.25
Game 5| Score 0| Mean 0.2
Game 6| Score 0| Mean 0.16666666666666666
Game 7| Score 0| Mean 0.14285714285714285
Game 8| Score 0| Mean 0.125
Game 9| Score 0| Mean 0.1111111111111111
Game 10| Score 0| Mean 0.1
Game 11| Score 1| Mean 0.18181818181818182
Game 12| Score 0| Mean 0.16666666666666666
Game 13| Score 1| Mean 0.23076923076923078
Game 14| Score 0| Mean 0.21428571428571427
Game 15| Score 0| Mean 0.2
Game 16| Score 1| Mean 0.25
Game 17| Score 0| Mean 0.23529411764705882
Game 18| Score 1| Mean 0.2777777777777778
Game 19| Score 0| Mean 0.2631578947368421
Game 20| Score 0| Mean 0.25
Game 21| Score 1| Mean 0.2857142857142857
Game 22| Score 0| Mean 0.2727272727272727
Game 23| Score 0| Mean 0.2608695652173913
Game 24| Score 0| Mean 0.25
Game 25| Score 0| Mean 0.24
Game 26| Score 2| Mean 0.3076923076923077
Game 27| Score 0| Mean 0.2962962962962963
Game 28| Score 0| Mean 0.2857142857142857
Game 29| Score 0| Mean 0.27586206896551724
Game 30| Score 0| Mean 0.26666666666666666
Game 31| Score 2| Mean 0.3225806451612903
Game 32| Score 0| Mean 0.3125
Game 33| Score 1| Mean 0.3333333333333333
Game 34| Score 0| Mean 0.3235294117647059
Game 35| Score 0| Mean 0.3142857142857143
Game 36| Score 1| Mean 0.3333333333333333
Game 37| Score 0| Mean 0.32432432432432434
Game 38| Score 0| Mean 0.3157894736842105
Game 39| Score 1| Mean 0.3333333333333333
Game 40| Score 2| Mean 0.375
Game 41| Score 3| Mean 0.43902439024390244
Game 42| Score 1| Mean 0.4523809523809524
Game 43| Score 1| Mean 0.46511627906976744
Game 44| Score 0| Mean 0.45454545454545453
Game 45| Score 0| Mean 0.4444444444444444
Game 46| Score 0| Mean 0.43478260869565216
Game 47| Score 0| Mean 0.425531914893617
Game 48| Score 0| Mean 0.4166666666666667
Game 49| Score 1| Mean 0.42857142857142855
Game 50| Score 0| Mean 0.42
Game 51| Score 2| Mean 0.45098039215686275
Game 52| Score 2| Mean 0.4807692307692308
Game 53| Score 0| Mean 0.4716981132075472
Game 54| Score 0| Mean 0.46296296296296297
Game 55| Score 0| Mean 0.45454545454545453
Game 56| Score 1| Mean 0.4642857142857143
Game 57| Score 2| Mean 0.49122807017543857
Game 58| Score 1| Mean 0.5
Game 59| Score 2| Mean 0.5254237288135594
Game 60| Score 0| Mean 0.5166666666666667
Game 61| Score 1| Mean 0.5245901639344263
Game 62| Score 0| Mean 0.5161290322580645
Game 63| Score 1| Mean 0.5238095238095238
Game 64| Score 1| Mean 0.53125
Game 65| Score 1| Mean 0.5384615384615384
Game 66| Score 2| Mean 0.5606060606060606
Game 67| Score 5| Mean 0.6268656716417911
Game 68| Score 3| Mean 0.6617647058823529
Game 69| Score 4| Mean 0.7101449275362319
Game 70| Score 2| Mean 0.7285714285714285
Game 71| Score 3| Mean 0.7605633802816901
Game 72| Score 4| Mean 0.8055555555555556
Game 73| Score 1| Mean 0.8082191780821918
Game 74| Score 5| Mean 0.8648648648648649
Game 75| Score 1| Mean 0.8666666666666667
Game 76| Score 14| Mean 1.0394736842105263
Game 77| Score 2| Mean 1.051948051948052
Game 78| Score 4| Mean 1.0897435897435896
Game 79| Score 14| Mean 1.2531645569620253
Game 80| Score 0| Mean 1.2375
Game 81| Score 15| Mean 1.4074074074074074
Game 82| Score 1| Mean 1.4024390243902438
Game 83| Score 3| Mean 1.4216867469879517
Game 84| Score 25| Mean 1.7023809523809523
Game 85| Score 2| Mean 1.7058823529411764
Game 86| Score 1| Mean 1.697674418604651
Game 87| Score 0| Mean 1.6781609195402298
Game 88| Score 12| Mean 1.7954545454545454
Game 89| Score 3| Mean 1.8089887640449438
Game 90| Score 3| Mean 1.8222222222222222
Game 91| Score 0| Mean 1.8021978021978022
Game 92| Score 17| Mean 1.9673913043478262
Game 93| Score 12| Mean 2.075268817204301
Game 94| Score 36| Mean 2.4361702127659575
Game 95| Score 33| Mean 2.7578947368421054
Game 96| Score 14| Mean 2.875
Game 97| Score 41| Mean 3.268041237113402
Game 98| Score 8| Mean 3.316326530612245
Game 99| Score 36| Mean 3.6464646464646466
Game 100| Score 17| Mean 3.78
Game 101| Score 58| Mean 4.316831683168317
Game 102| Score 28| Mean 4.549019607843137
Game 103| Score 32| Mean 4.815533980582524
Game 104| Score 36| Mean 5.115384615384615
Game 105| Score 35| Mean 5.4
Game 106| Score 24| Mean 5.5754716981132075
Game 107| Score 42| Mean 5.91588785046729
Game 108| Score 29| Mean 6.12962962962963
Game 109| Score 19| Mean 6.247706422018348
Game 110| Score 46| Mean 6.609090909090909
Game 111| Score 17| Mean 6.702702702702703
Game 112| Score 60| Mean 7.178571428571429
Game 113| Score 46| Mean 7.522123893805309
Game 114| Score 33| Mean 7.745614035087719
Game 115| Score 22| Mean 7.869565217391305
Game 116| Score 26| Mean 8.025862068965518
Game 117| Score 24| Mean 8.162393162393162
Game 118| Score 14| Mean 8.211864406779661
